Hypothesized Word (H),Reference Word (R),H - POS TAG,R - POS TAG,H - Saliency Score,R - Saliency Score,Sentiment Orientation,H - Num. Phonemes,R - Num. Phonemes,H - Word Type,R - Word Type,R - Importance Score
hi,hi,NN,NN,0.5,0.5,0,1,0,CONTENT,CONTENT,1.138051165566796
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,1.2712174715755746
name,name,NN,NN,0,0,0,1,0,CONTENT,CONTENT,1.032441395118848
is,is,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,3.0358844351302054
sarah,sarah,NN,NN,0.20000000000000001,0.20000000000000001,0,5,0,CONTENT,CONTENT,3.0645861710612494
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.3329375067746945
major,major,JJ,JJ,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,0.6340230939918727
is,is,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,2.2050029738850196
advertising,advertising,NN,NN,0.090909090909090912,0.090909090909090912,0,4,0,CONTENT,CONTENT,1.9135641292859882
and,and,CC,CC,0,0,0,1,0,,FUNCTION,3.109275075891605
pr,pr,NN,NN,0.5,0.5,0,2,0,CONTENT,CONTENT,3.202119404677499
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.655934674261051
watch,watch,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.513844028819205
fell,fell,VBD,VBD,0.25,0.25,0,1,0,CONTENT,CONTENT,3.146645680439872
in,in,IN,IN,0,0,0,1,0,,FUNCTION,2.937496473061829
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.297000604039352
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.248281603384566
prevailing,prevailing,VBG,VBG,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,1.0635063450697784
winds,wind,NN,NN,0.20000000000000001,0.25,0,1,0,CONTENT,CONTENT,3.2317948915523553
from,from,IN,IN,0,0,0,1,0,,FUNCTION,2.9519631344389468
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.3262364769103163
east,east,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.2522175441797
wind,wind,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.3219280948873613
never,never,RB,RB,0,0,0,2,0,CONTENT,CONTENT,0.7342812903270978
too,too,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.939214638536121
rich,rich,JJ,JJ,0.25,0.25,0,1,0,CONTENT,CONTENT,3.111929949859297
and,and,CC,CC,0,0,0,1,0,,FUNCTION,2.468006677213817
