Hypothesized Word (H),Reference Word (R),H - POS TAG,R - POS TAG,H - Saliency Score,R - Saliency Score,Sentiment Orientation,H - Num. Phonemes,R - Num. Phonemes,H - Word Type,R - Word Type,R - Importance Score
art,art,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.3219280948873613
kalb,kalb,NN,NN,0,0,0,4,0,CONTENT,CONTENT,3.001386010108546
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.655934674261051
watch,watch,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.513844028819205
fell,fell,VBD,VBD,0.25,0.25,0,1,0,CONTENT,CONTENT,3.146645680439872
in,in,IN,IN,0,0,0,1,0,,FUNCTION,2.937496473061829
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.297000604039352
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.248281603384566
prevailing,prevailing,VBG,VBG,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,1.0635063450697784
winds,wind,NN,NN,0.20000000000000001,0.25,0,1,0,CONTENT,CONTENT,3.2317948915523553
from,from,IN,IN,0,0,0,1,0,,FUNCTION,2.9519631344389468
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.3262364769103163
east,east,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.2522175441797
wind,wind,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.3219280948873613
never,never,RB,RB,0,0,0,2,0,CONTENT,CONTENT,0.7342812903270978
too,too,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.939214638536121
rich,rich,JJ,JJ,0.25,0.25,0,1,0,CONTENT,CONTENT,3.111929949859297
and,and,CC,CC,0,0,0,1,0,,FUNCTION,2.468006677213817
never,never,RB,RB,0,0,0,2,0,CONTENT,CONTENT,1.1854716837475632
to,too,TO,RB,0,0,0,1,0,,CONTENT,3.135547424156796
send,thin,VB,JJ,0.25,0,1,1,0,CONTENT,CONTENT,2.9009612774303406
thin,thin,JJ,JJ,0,0,0,1,0,CONTENT,CONTENT,3.3219280948873613
breathing,breathing,NN,NN,0.1111111111111111,0.1111111111111111,0,2,0,CONTENT,CONTENT,2.7847481196594184
is,is,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,3.0881120632678525
difficult,difficult,JJ,JJ,0.1111111111111111,0.1111111111111111,0,3,0,CONTENT,CONTENT,3.0194945836433082
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,1.490660011592552
can,can,MD,MD,0,0,0,1,0,,FUNCTION,2.8943132927603115
see,see,VB,VB,0,0,0,1,0,CONTENT,CONTENT,2.8887820650196367
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.8342315867132597
rings,rings,VBZ,VBZ,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.960527606707816
on,on,IN,IN,0,0,0,1,0,,FUNCTION,3.062349135034502
saturday,saturn,NN,NN,0.125,0.16666666666666666,0,3,0,CONTENT,CONTENT,2.493897325654115
saturn,saturn,NN,NN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.3219280948873613
//,//,NN,NN,0.5,0.5,0,2,0,CONTENT,CONTENT,2.040687136634513
so,so,RB,RB,0,0,0,1,0,CONTENT,CONTENT,1.4865469341293909
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,1.834650290925412
first,first,JJ,JJ,0,0,0,1,0,CONTENT,CONTENT,1.0294181227478048
thoughts,thoughts,NN,NN,0.125,0.125,0,1,0,CONTENT,CONTENT,2.617111678780032
would,would,MD,MD,0,0,0,1,0,,FUNCTION,1.9513172751261059
be,be,VB,VB,0,0,0,1,0,CONTENT,CONTENT,2.643923643344783
food,food,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.4635259666286236
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,1.8904367847677344
and,and,CC,CC,0,0,0,1,0,,FUNCTION,2.138700862245133
sun,sun,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.204069406097069
protection,protection,NN,NN,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,2.918306403666324
okay,okay,NN,NN,0.25,0.25,0,2,0,CONTENT,CONTENT,2.952539670658194
that's,that's,NN,NN,0.16666666666666666,0.16666666666666666,0,1,0,CONTENT,CONTENT,1.4545678275512641
four,four,CD,CD,0,0,0,1,0,,FUNCTION,3.206282642365252
items,items,NNS,NNS,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,1.9078453839943408
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,2.2459193012118766
need,need,VBP,VBP,0.25,0.25,0,1,0,CONTENT,CONTENT,2.538186586208723
six,six,CD,CD,0,0,0,1,0,,FUNCTION,2.41832288350122
more,more,JJR,JJR,0,0,0,1,0,CONTENT,CONTENT,3.1294285529079318
signal,signal,VB,VB,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.3234009955525745
flares,flares,NN,NN,0.16666666666666666,0.16666666666666666,0,1,0,CONTENT,CONTENT,2.952484949875387
yeah,yeah,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.997899849734902
that,that,IN,IN,0,0,0,1,0,,FUNCTION,2.5173131741050745
seems,seems,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,1.3102479721224214
reasonable,reasonable,NN,NN,0.10000000000000001,0.10000000000000001,0,4,0,CONTENT,CONTENT,2.7204134626775387
results,we,NNS,PRP,0.14285714285714285,0,0,2,0,CONTENT,FUNCTION,2.245955435286388
,could,,MD,-1,0,0,2,0,,FUNCTION,2.9469520207441895
again,also,RB,RB,0,0,0,2,0,CONTENT,CONTENT,2.9822863871014884
,get,,VB,-1,0,0,2,0,,CONTENT,3.111643020639895
don't,we,NN,PRP,0.20000000000000001,0,0,1,0,CONTENT,FUNCTION,1.9215533455499005
,could,,MD,-1,0,0,1,0,,FUNCTION,2.7494137695880188
forget,also,NN,RB,0.16666666666666666,0,0,2,0,CONTENT,CONTENT,2.7560125451528332
,get,,VB,-1,0,0,2,0,,CONTENT,2.9483503723504145
about,a,IN,DT,0,0,0,2,0,,FUNCTION,2.396216754346373
,boat,,NN,-1,0.25,0,2,0,,CONTENT,2.4592236361370428
radio,radio,NN,NN,0.20000000000000001,0.20000000000000001,0,3,0,CONTENT,CONTENT,2.907580044947052
so,so,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.3024107011074078
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.9571833531269336
list,list,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.223413779332098
food,food,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.352661103236855
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,2.8283770423134316
sun,sun,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.0587255172002332
protection,protection,NN,NN,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,2.7957318149667802
rope,rope,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.901741681051716
signal,signal,VB,VB,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.3234009955525745
flares,flares,NN,NN,0.16666666666666666,0.16666666666666666,0,1,0,CONTENT,CONTENT,2.7765504524843916
radio,radio,NN,NN,0.20000000000000001,0.20000000000000001,0,3,0,CONTENT,CONTENT,1.9227177707496157
fishing,fishing,NN,NN,0.14285714285714285,0.14285714285714285,0,2,0,CONTENT,CONTENT,2.7933742989470542
equipment,equipment,NN,NN,0.1111111111111111,0.1111111111111111,0,3,0,CONTENT,CONTENT,2.9271393082273205
maybe,maybe,RB,RB,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.0520190723018334
something,something,NN,NN,0.1111111111111111,0.1111111111111111,0,2,0,CONTENT,CONTENT,3.2825887195770314
to,to,TO,TO,0,0,0,1,0,,FUNCTION,3.034943690249243
patch,patch,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.269728673288414
holes,holes,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.1444594012671905
in,in,IN,IN,0,0,0,1,0,,FUNCTION,2.894463894317689
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.391963697752262
liferaft,liferaft,NN,NN,0,0,0,8,0,CONTENT,CONTENT,3.248281603384566
on,on,IN,IN,0,0,0,1,0,,FUNCTION,1.554429772410718
a,a,DT,DT,0,0,0,1,0,,FUNCTION,1.1592155750544437
boat,boat,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.250837361994895
on,on,IN,IN,0,0,0,1,0,,FUNCTION,3.062904636661319
a,a,DT,DT,0,0,0,1,0,,FUNCTION,2.176683877771742
boat,boat,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.0610114772720785
creepiest,maybe,NN,RB,0,0.20000000000000001,0,3,0,CONTENT,CONTENT,2.9601773917212624
,a,,DT,-1,0,0,3,0,,FUNCTION,2.962413033961523
,stove,,NN,-1,0.20000000000000001,0,3,0,,CONTENT,2.8315863835021036
maybe,maybe,RB,RB,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,2.9601773917212624
a,a,DT,DT,0,0,0,1,0,,FUNCTION,2.962413033961523
stove,stove,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.8315863835021036
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,1.6665104402078141
can,can,MD,MD,0,0,0,1,0,,FUNCTION,2.594628138318633
reckless,write,JJ,VB,0.125,0.20000000000000001,0,2,0,CONTENT,CONTENT,2.9112775874660413
,the,,DT,-1,0,0,2,0,,FUNCTION,2.6475274605006005
,list,,NN,-1,0.25,0,2,0,,CONTENT,0.3588646284014594
down,down,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.8599437477842877
and,and,CC,CC,0,0,0,1,0,,FUNCTION,2.9425526315277604
check,check,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.3085590807496634
the,the,DT,DT,0,0,0,1,0,,FUNCTION,3.184549018513948
ordering,ordering,VBG,VBG,0.125,0.125,0,3,0,CONTENT,CONTENT,3.27370452167029
write,write,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.588176849362517
list,list,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.961079288018365
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,2.0786446546571975
have,have,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,2.1078097984678585
food,food,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,1.9518759936341692
and,and,CC,CC,0,0,0,1,0,,FUNCTION,2.9442206571929876
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.321123972775575
as,as,IN,IN,0,0,0,1,0,,FUNCTION,2.0227585504926204
two,two,CD,CD,0,0,0,1,0,,FUNCTION,3.17270672131973
items,items,NNS,NNS,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.101348111157108
agreed,agreed,VBD,VBD,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.3219280948873613
it,I,PRP,PRP,0,0,0,1,0,,FUNCTION,3.0008722651517448
,put,,VB,-1,0,0,1,0,,CONTENT,0.5679482891809619
really,radio,RB,NN,0.16666666666666666,0.20000000000000001,1,2,0,CONTENT,CONTENT,3.2012229752983608
was,as,VBD,IN,0.33333333333333331,0,0,1,0,CONTENT,FUNCTION,3.2047320610528236
three,three,CD,CD,0,0,0,1,0,,FUNCTION,3.124414477503163
radio,radio,NN,NN,0.20000000000000001,0.20000000000000001,0,3,0,CONTENT,CONTENT,3.3219280948873613
life,life,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.0005620720918693
is,vest,VBZ,NN,0,0.25,0,1,0,CONTENT,CONTENT,3.1124523486884237
just,is,RB,VBZ,0.25,0,0,1,0,CONTENT,CONTENT,3.1713117882207675
for,four,IN,CD,0,0,0,1,0,,FUNCTION,3.0194945836433082
life,life,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.0005620720918693
vest,vest,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.7405813311237748
signal,signal,VB,VB,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.3234009955525745
flares,flares,NN,NN,0.16666666666666666,0.16666666666666666,0,1,0,CONTENT,CONTENT,3.263833680185433
at,at,IN,IN,0,0,0,1,0,,FUNCTION,2.5442117421976107
nine,nine,CD,CD,0,0,0,1,0,,FUNCTION,2.76245307393764
maybe,maybe,RB,RB,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.080931562457372
not,not,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.048784694814724
some,sun,DT,NN,0,0.33333333333333331,0,1,0,,CONTENT,2.826771525462187
protection,protection,NN,NN,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,2.8832783825115107
for,but,IN,CC,0,0,0,1,0,,FUNCTION,1.7464554249677509
first,first,JJ,JJ,0,0,0,1,0,CONTENT,CONTENT,1.3526794706352367
aid,aid,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,2.9358291253506885
kit,kit,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.1613993039814066
instead,instead,RB,RB,0.14285714285714285,0.14285714285714285,0,2,0,CONTENT,CONTENT,2.9634682004976245
some,sun,DT,NN,0,0.33333333333333331,0,1,0,,CONTENT,3.0587255172002332
protection,protection,NN,NN,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,1.9456537056264034
being,being,VBG,VBG,0,0,0,2,0,CONTENT,CONTENT,2.857700689524195
a,a,DT,DT,0,0,0,1,0,,FUNCTION,3.1687589230972018
part,part,NN,NN,0,0,0,1,0,CONTENT,CONTENT,3.1480053789362024
of,of,IN,IN,0,0,0,1,0,,FUNCTION,1.789611188715691
that,that,IN,IN,0,0,0,1,0,,FUNCTION,2.5331061155779326
rope,rope,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.1814986088229684
at,at,IN,IN,0,0,0,1,0,,FUNCTION,3.0825582428946308
eight,eight,CD,CD,0,0,0,1,0,,FUNCTION,2.76245307393764
anchor,anchor,NN,NN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.2188110906355534
at,at,IN,IN,0,0,0,1,0,,FUNCTION,3.285903270696814
seven,seven,CD,CD,0.20000000000000001,0.20000000000000001,0,2,0,,FUNCTION,2.709645046122249
whole,hole,JJ,NN,0,0.25,1,1,0,CONTENT,CONTENT,3.0978020905395587
patch,patch,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.175299109885084
at,at,IN,IN,0,0,0,1,0,,FUNCTION,3.0320208466585195
six,six,CD,CD,0,0,0,1,0,,FUNCTION,2.76245307393764
you,you,PRP,PRP,0,0,0,1,0,,FUNCTION,2.5003409850884677
want,want,VBP,VBP,0.25,0.25,0,1,0,CONTENT,CONTENT,2.5271223741747235
me,me,PRP,PRP,0,0,0,1,0,,FUNCTION,1.6141164908995702
to,to,TO,TO,0,0,0,1,0,,FUNCTION,2.426847754286097
write,write,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.2347995246402332
that,that,IN,IN,0,0,0,1,0,,FUNCTION,3.034056851759836
down,down,RB,RB,0,0,0,1,0,CONTENT,CONTENT,3.2365851448244722
on,on,IN,IN,0,0,0,1,0,,FUNCTION,2.937925642581197
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.4810784355645135
list,list,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.216638440666517
agreed,agreed,VBD,VBD,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.3219280948873613
also,also,RB,RB,0,0,0,2,0,CONTENT,CONTENT,3.0942444351471345
agreed,agreed,VBD,VBD,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.111643020639895
yep,yep,NN,NN,0.33333333333333331,0.33333333333333331,0,3,0,CONTENT,CONTENT,3.3219280948873613
first,first,JJ,JJ,0,0,0,1,0,CONTENT,CONTENT,1.0189835208012408
aid,aid,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,2.9358291253506885
kit,kit,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.154725849861747
yup,yup,NN,NN,0.33333333333333331,0.33333333333333331,0,3,0,CONTENT,CONTENT,0.28459121582582797
yup,yup,NN,NN,0.33333333333333331,0.33333333333333331,0,3,0,CONTENT,CONTENT,2.2015454301190527
yup,yup,NN,NN,0.33333333333333331,0.33333333333333331,0,3,0,CONTENT,CONTENT,1.6862202600401808
map,map,VB,VB,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.3219280948873613
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,0.21638650705762635
don't,don't,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.1772741371653985
think,think,VBP,VBP,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.6274013884610257
either,either,DT,DT,0,0,0,2,0,,FUNCTION,2.8311689360062804
of,of,IN,IN,0,0,0,1,0,,FUNCTION,3.1100685989414076
those,those,DT,DT,0,0,0,1,0,,FUNCTION,2.7603262281392307
are,are,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,3.072055214913658
needed,needed,VBN,VBN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.192933381363888
the,the,DT,DT,0,0,0,1,0,,FUNCTION,1.5812868642090538
moon,moon,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.9708363200901915
has,has,VBZ,VBZ,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.0003429253527236
sufficient,sufficiently,JJ,RB,0.10000000000000001,0.083333333333333329,0,3,0,CONTENT,CONTENT,3.0028271011154
gravity,gravity,NN,NN,0.14285714285714285,0.14285714285714285,0,3,0,CONTENT,CONTENT,3.2516291673878226
actually,actually,RB,RB,0.125,0.125,0,3,0,CONTENT,CONTENT,1.3444773130112055
on,on,IN,IN,0,0,0,1,0,,FUNCTION,1.0878560839359976
second,second,JJ,JJ,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.454201567838316
thought,thought,VBD,VBD,0.14285714285714285,0.14285714285714285,0,1,0,CONTENT,CONTENT,2.7677747563896555
road,rope,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.093026503861664
might,might,MD,MD,0,0,0,1,0,,FUNCTION,2.4199354590741695
be,be,VB,VB,0,0,0,1,0,CONTENT,CONTENT,2.928079796889459
a,a,DT,DT,0,0,0,1,0,,FUNCTION,1.7334947087064128
good,good,JJ,JJ,0.25,0.25,0,1,0,CONTENT,CONTENT,2.870358058069287
idea,idea,NN,NN,0.25,0.25,0,2,0,CONTENT,CONTENT,3.18413603873075
rope,rope,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.3219280948873613
some,some,DT,DT,0,0,0,1,0,,FUNCTION,3.2002650945748274
for,sort,IN,NN,0,0.25,0,1,0,,CONTENT,2.9279204871888114
the,of,DT,IN,0,0,0,1,0,,FUNCTION,2.3101536089376165
power,power,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.0218294621344106
supply,supply,NN,NN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.7847990356807095
maybe,maybe,RB,RB,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.2704915601383
for,for,IN,IN,0,0,0,1,0,,FUNCTION,3.234647673616598
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.8844339182739125
spacesuit,spacesuit,NN,NN,0,0,0,2,0,CONTENT,CONTENT,3.2425518522668657
and,and,CC,CC,0,0,0,1,0,,FUNCTION,2.0961213924293416
radio,radio,NN,NN,0.20000000000000001,0.20000000000000001,0,3,0,CONTENT,CONTENT,3.202119404677499
doesn't,doesn't,NN,NN,0.20198927518355939,0.20198927518355939,0,2,0,CONTENT,CONTENT,2.6144060720656235
matter,matter,NN,NN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.0359990384462794
just,just,RB,RB,0.25,0.25,0,1,0,CONTENT,CONTENT,1.0759599776593687
any,any,DT,DT,0.33333333333333331,0.33333333333333331,0,2,0,,FUNCTION,2.472592945477789
power,power,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.201832109891496
supply,supply,NN,NN,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.8314514317417245
yeah,yeah,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.1611947856720426
okay,okay,NN,NN,0.25,0.25,0,2,0,CONTENT,CONTENT,3.2209756788826747
that,that,IN,IN,0,0,0,1,0,,FUNCTION,1.4102354931650345
seems,seems,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,2.3837981479106483
like,like,IN,IN,0.25,0.25,0,1,0,,FUNCTION,3.0526547791614482
a,a,DT,DT,0,0,0,1,0,,FUNCTION,2.9858262648626788
good,good,JJ,JJ,0.25,0.25,0,1,0,CONTENT,CONTENT,2.840431766105753
10th,10th,JJ,JJ,0.25,0.25,0,4,0,CONTENT,CONTENT,3.2054906378578
item,item,NN,NN,0.25,0.25,0,2,0,CONTENT,CONTENT,3.3219280948873613
no,no,DT,DT,0,0,0,1,0,,FUNCTION,3.117076175985584
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,2.9795488206430285
like,like,IN,IN,0.25,0.25,0,1,0,,FUNCTION,2.358935354433063
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.4436344546716455
order,order,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.23956215315771
