Hypothesized Word (H),Reference Word (R),H - POS TAG,R - POS TAG,H - Saliency Score,R - Saliency Score,Sentiment Orientation,H - Num. Phonemes,R - Num. Phonemes,H - Word Type,R - Word Type,R - Importance Score
hi,hi,NN,NN,0.5,0.5,0,1,0,CONTENT,CONTENT,3.125
sarah,sarah,NN,NN,0.20000000000000001,0.20000000000000001,0,5,0,CONTENT,CONTENT,3.096474954980684
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,1.644487881955376
am,am,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,3.2449664664942817
a,a,DT,DT,0,0,0,1,0,,FUNCTION,3.006176147257791
second-year,second-year,NN,NN,0,0,0,12,0,CONTENT,CONTENT,2.491481545882692
mechanical,mechanical,JJ,JJ,0.10000000000000001,0.10000000000000001,0,4,0,CONTENT,CONTENT,3.143278308714654
engineering,engineering,NN,NN,0.090909090909090912,0.090909090909090912,0,4,0,CONTENT,CONTENT,1.6114227580073142
and,and,CC,CC,0,0,0,1,0,,FUNCTION,3.106765769759382
applied,applied,VBN,VBN,0.14285714285714285,0.14285714285714285,0,2,0,CONTENT,CONTENT,1.9313316540122007
math,math,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.8144289416950423
major,major,JJ,JJ,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,2.826720518315688
cool,cool,JJ,JJ,0.25,0.25,0,1,0,CONTENT,CONTENT,1.9668134981875698
that,that,IN,IN,0,0,0,1,0,,FUNCTION,0.7718569788344951
sounds,sounds,NNS,NNS,0.16666666666666666,0.16666666666666666,0,1,0,CONTENT,CONTENT,3.076865001521982
pretty,pretty,RB,RB,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,2.961341790962576
interesting,interesting,JJ,JJ,0,0,0,3,0,CONTENT,CONTENT,2.496391895406926
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.655934674261051
watch,watch,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.513844028819205
fell,fell,VBD,VBD,0.25,0.25,0,1,0,CONTENT,CONTENT,3.146645680439872
in,in,IN,IN,0,0,0,1,0,,FUNCTION,2.937496473061829
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.297000604039352
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.248281603384566
i'm,i'm,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,2.7645216507392893
supposed,supposed,NN,NN,0.125,0.125,0,2,0,CONTENT,CONTENT,3.034384950743793
to,to,TO,TO,0,0,0,1,0,,FUNCTION,1.9601719196566134
say,say,VBP,VBP,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,2.807088294882842
that,that,IN,IN,0,0,0,1,0,,FUNCTION,2.4484231697095886
by,by,IN,IN,0,0,0,1,0,,FUNCTION,3.1796545916159142
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.2037921164803347
way,way,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.2260024681961683
prevailing,prevailing,VBG,VBG,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,1.0635063450697784
wind,wind,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.2317948915523553
