Hypothesized Word (H),Reference Word (R),H - POS TAG,R - POS TAG,H - Saliency Score,R - Saliency Score,Sentiment Orientation,H - Num. Phonemes,R - Num. Phonemes,H - Word Type,R - Word Type,R - Importance Score
alan,alan,NN,NN,0.25,0.25,0,4,0,CONTENT,CONTENT,3.3219280948873613
snyder,snyder,NN,NN,0,0,0,6,0,CONTENT,CONTENT,2.8689478400317037
third,third,JJ,JJ,0,0,0,1,0,CONTENT,CONTENT,2.8883904710220722
year,year,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.0228604523765776
my,my,PRP$,PRP$,0,0,0,1,0,,FUNCTION,2.655934674261051
watch,watch,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.513844028819205
fell,fell,VBD,VBD,0.25,0.25,0,1,0,CONTENT,CONTENT,3.146645680439872
in,in,IN,IN,0,0,0,1,0,,FUNCTION,2.937496473061829
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.297000604039352
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.248281603384566
prevailing,prevailing,VBG,VBG,0.10000000000000001,0.10000000000000001,0,3,0,CONTENT,CONTENT,1.0635063450697784
wind,wind,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.2317948915523553
from,from,IN,IN,0,0,0,1,0,,FUNCTION,2.9519631344389468
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.3262364769103163
east,east,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.2522175441797
breathing,breathing,NN,NN,0.1111111111111111,0.1111111111111111,0,2,0,CONTENT,CONTENT,2.7847481196594184
is,is,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,3.0881120632678525
difficult,difficult,JJ,JJ,0.1111111111111111,0.1111111111111111,0,3,0,CONTENT,CONTENT,3.0194945836433082
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,1.490660011592552
can,can,MD,MD,0,0,0,1,0,,FUNCTION,2.8943132927603115
see,see,VB,VB,0,0,0,1,0,CONTENT,CONTENT,2.8887820650196367
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.8342315867132597
rings,rings,VBZ,VBZ,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.960527606707816
on,on,IN,IN,0,0,0,1,0,,FUNCTION,3.062349135034502
saturday,saturn,NN,NN,0.125,0.16666666666666666,0,3,0,CONTENT,CONTENT,2.493897325654115
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,1.846964785826232
should,should,MD,MD,0,0,0,1,0,,FUNCTION,3.099220056021274
probably,probably,RB,RB,0.125,0.125,0,3,0,CONTENT,CONTENT,2.736538512128237
get,get,VB,VB,0,0,0,1,0,CONTENT,CONTENT,0.8486894758904713
water,water,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.246865937493894
since,since,IN,IN,0.20000000000000001,0.20000000000000001,0,1,0,,FUNCTION,2.7014549413637496
it,it,PRP,PRP,0,0,0,1,0,,FUNCTION,2.7354077286279237
is,is,VBZ,VBZ,0,0,0,1,0,CONTENT,CONTENT,2.865080796454167
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.361707937216176
pacific,pacific,NN,NN,0.14285714285714285,0.14285714285714285,0,3,0,CONTENT,CONTENT,3.266865030107994
naggers,I,NN,PRP,0,0,0,2,0,CONTENT,FUNCTION,1.7218239805669806
,agree,,VBP,-1,0.20000000000000001,0,2,0,,CONTENT,3.3219280948873613
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,1.7218239805669806
agree,agree,VBP,VBP,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.1440696604141234
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,2.5996880443428303
will,will,MD,MD,0,0,0,1,0,,FUNCTION,2.9638834910161718
write,write,VB,VB,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.249505071407071
it,it,PRP,PRP,0,0,0,1,0,,FUNCTION,3.0462179289765894
down,down,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.908745275489037
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,0.49637181613206405
definitely,definitely,RB,RB,0.10000000000000001,0.10000000000000001,0,4,0,CONTENT,CONTENT,2.401527419538687
agree,agree,VBP,VBP,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.256694793441805
on,on,IN,IN,0,0,0,1,0,,FUNCTION,3.0560384840045605
the,the,DT,DT,0,0,0,1,0,,FUNCTION,2.1374395042756182
satellite,satellite,NN,NN,0.1111111111111111,0.1111111111111111,0,3,0,CONTENT,CONTENT,2.4995131490291262
phone,phone,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.2722597738316885
what,what,WP,WP,0,0,0,1,0,,FUNCTION,0.9609934772422566
do,do,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,1.8151388771165111
you,you,PRP,PRP,0,0,0,1,0,,FUNCTION,1.72349116499578
mean,mean,VB,VB,0.25,0.25,0,1,0,CONTENT,CONTENT,3.143309767062522
by,by,IN,IN,0,0,0,1,0,,FUNCTION,3.168553761128621
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,1.8316562392387503
can,can,MD,MD,0,0,0,1,0,,FUNCTION,2.589414272804836
use,use,NN,NN,0.33333333333333331,0.33333333333333331,0,1,0,CONTENT,CONTENT,3.243024842912547
both,both,DT,DT,0,0,0,1,0,,FUNCTION,3.0096570291817657
of,though,IN,IN,0,0,0,1,0,,FUNCTION,2.85212951703627
alright,alright,NN,NN,0.14285714285714285,0.14285714285714285,0,2,0,CONTENT,CONTENT,3.3219280948873613
alright,I'll,NN,NN,0.14285714285714285,0.25,0,2,0,CONTENT,CONTENT,2.352170460897226
,write,,VB,-1,0.20000000000000001,0,2,0,,CONTENT,3.27511199454207
that,that,IN,IN,0,0,0,1,0,,FUNCTION,1.9735637818856777
,down,,RB,-1,0,1,1,0,,CONTENT,2.1931968582642623
next,next,JJ,JJ,0,0,0,1,0,CONTENT,CONTENT,3.083000615099222
what,what,WP,WP,0,0,0,1,0,,FUNCTION,3.048765948599067
about,about,IN,IN,0,0,0,2,0,,FUNCTION,3.1152379856164716
some,some,DT,DT,0,0,0,1,0,,FUNCTION,2.835701293888267
food,food,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,2.2421478840736606
probably,probably,RB,RB,0.125,0.125,0,3,0,CONTENT,CONTENT,2.3896860301824043
get,get,VB,VB,0,0,0,1,0,CONTENT,CONTENT,3.2574389701958113
like,like,IN,IN,0.25,0.25,0,1,0,,FUNCTION,2.350796513971695
a,a,DT,DT,0,0,0,1,0,,FUNCTION,2.020634524143705
fishing,fishing,NN,NN,0.14285714285714285,0.14285714285714285,0,2,0,CONTENT,CONTENT,2.8195799969368918
pole,pole,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.1385195969637825
or,or,CC,CC,0,0,0,1,0,,FUNCTION,3.0547746474464277
something,something,NN,NN,0.1111111111111111,0.1111111111111111,0,2,0,CONTENT,CONTENT,3.1852381430853383
depends,depends,VBZ,VBZ,0.14285714285714285,0.14285714285714285,0,7,0,CONTENT,CONTENT,2.973111756520023
if,if,IN,IN,0,0,0,1,0,,FUNCTION,2.7072781334836864
they,we,PRP,PRP,0,0,0,1,0,,FUNCTION,2.902459967320555
have,have,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,3.238842928359984
what,what,WP,WP,0,0,0,1,0,,FUNCTION,2.5637915982387014
i,i,NN,NN,0,0,0,1,0,CONTENT,CONTENT,0.9569024357550756
think,think,VBP,VBP,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.952087861382038
right,right,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,3.0945386212677293
now,now,RB,RB,0,0,0,1,0,CONTENT,CONTENT,3.139387380846259
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,1.4088579124124208
have,have,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,3.134512837863353
to,to,TO,TO,0,0,0,1,0,,FUNCTION,2.0076019870128623
assume,assume,VB,VB,0.16666666666666666,0.16666666666666666,0,2,0,CONTENT,CONTENT,3.224647799415906
that,that,IN,IN,0,0,0,1,0,,FUNCTION,3.1343560246033397
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,2.4388779419634896
don't,don't,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,1.6157981850415637
have,have,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,2.9994312427837215
any,any,DT,DT,0.33333333333333331,0.33333333333333331,0,2,0,,FUNCTION,2.8655466957880975
food,food,NN,NN,0.25,0.25,0,1,0,CONTENT,CONTENT,3.0525152391621595
so,so,RB,RB,0,0,0,1,0,CONTENT,CONTENT,2.834080611197765
they,they,PRP,PRP,0,0,0,1,0,,FUNCTION,2.421761705854596
probably,probably,RB,RB,0.125,0.125,0,3,0,CONTENT,CONTENT,0.748639471890567
don't,don't,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.7295830635602902
already,already,RB,RB,0.14285714285714285,0.14285714285714285,0,3,0,CONTENT,CONTENT,3.0843302060095756
have,have,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,3.1963778120365918
some,some,DT,DT,0,0,0,1,0,,FUNCTION,2.686609826473345
just,just,RB,RB,0.25,0.25,0,1,0,CONTENT,CONTENT,0.6919115196599573
to,to,TO,TO,0,0,0,1,0,,FUNCTION,2.450335550851268
recap,recap,NN,NN,0.20000000000000001,0.20000000000000001,0,2,0,CONTENT,CONTENT,3.0706204190078457
we,we,PRP,PRP,0,0,0,1,0,,FUNCTION,2.741787787831856
have,have,VBP,VBP,0,0,0,1,0,CONTENT,CONTENT,2.555142676385686
knife,knife,NN,NN,0.20000000000000001,0.20000000000000001,0,1,0,CONTENT,CONTENT,2.5637915982387014
